Price,Brand,Coprocessor,Video Memory,Clock,Video Output,Link,data-brand,data-mem,data-price,data-clock,data-processor,data-ram,i
 $150.00 ,51RISC,AMD Radeon RX 5500 XT,8GB GDDR6,1717 MHz,HDMI;DisplayPort,https://amzn.to/3TOeBB1,51RISC,mem8,100to200,1.5to2,AMDRadeonRX5500XT,GDDR6 ,
 $99.00 ,ARDIYES,RX 580,8GB GDDR5,1286 MHz,HDMI;DisplayPort,https://amzn.to/3tsV6n9 ,ARDIYES,mem8,under100,1to1.5,RX580,GDDR5,
 $890.00 ,ASUS,NVIDIA GeForce RTX 4070 TI,12GB GDDR6X,2310 MHz,HDMI,https://amzn.to/4aGZZcI,ASUS,mem12,500to1000,2to2.5,NVIDIAGeForceRTX4070TI,GDDR6X,
 $300.00 ,ASUS,NVIDIA GeForce RTX 3060,12GB GDDR6,1870 MHz,DisplayPort,https://amzn.to/3THfR9o,ASUS,mem12,300to400,1.5to2,NVIDIAGeForceRTX3060,GDDR6,
 $400.00 ,ASUS,NVIDIA GeForce RTX 4060 Ti,8GB GDDR6,2560 MHz,HDMI,https://amzn.to/47b1CwB,ASUS,mem8,400to500,2.5to3,NVIDIAGeForceRTX4060Ti,GDDR6,
 $180.00 ,ASUS,NVIDIA GeForce RTX 4070,12GB GDRR6X,2580 MHz,DisplayPort,https://amzn.to/3RKWHwC,ASUS,mem12,100to200,2.5to3,NVIDIAGeForceRTX4070,GDDR6X,
 $630.00 ,ASUS,NVIDIA GeForce RTX 4070,12GB GDRR6X,2580 MHz,DisplayPort,https://amzn.to/41Q6OF8,ASUS,mem12,500to1000,2.5to3,NVIDIAGeForceRTX4070,GDDR6X,
 $350.00 ,ASUS,NVIDIA GeForce RTX 4060,8GB GDDR6,2550 MHz,DisplayPort,https://amzn.to/4aL8qDT,ASUS,mem8,300to400,2.5to3,NVIDIAGeForceRTX4060,GDDR6 ,
 $410.00 ,ASUS,NVIDIA GeForce RTX 4060 Ti,8GB GDDR6,2565 MHz,HDMI,https://amzn.to/3S7jaoQ,ASUS,mem8,400to500,2.5to3,NVIDIAGeForceRTX4060Ti,GDDR6 ,
 $890.00 ,ASUS,NVIDIA GeForce RTX 4070 TI,12GB GDDR6X,2310 MHz,HDMI,https://amzn.to/41UJwhd,ASUS,mem12,500to1000,2to2.5,NVIDIAGeForceRTX4070TI,GDRR6X,
 $440.00 ,ASUS,NVIDIA GeForce RTX 4060 Ti,8GB GDDR6,2655 MHz,DisplayPort,https://amzn.to/4aJRKgc,ASUS,mem8,400to500,2.5to3,NVIDIAGeForceRTX4060Ti,GDDR6 ,
 $400.00 ,GALAX,NVIDIA GeForce RTX 4060 Ti,8GB GDDR6,2310 MHz,HDMI;DisplayPort,https://amzn.to/3vy0rdd,GALAX,mem8,400to500,2to2.5,NVIDIAGeForceRTX4060Ti,GDDR6 ,
 $300.00 ,GIGABYTE,NVIDIA GeForce RTX 3060,12GB GDDR6,1837 MHz,HDMI;DisplayPort,https://amzn.to/3vgAaAd,GIGABYTE,mem12,300to400,1.5to2,NVIDIAGeForceRTX3060,GDDR6,
 $450.00 ,GIGABYTE,NVIDIA GeForce RTX 3070,8GB GDDR6,1815 MHz,HDMI;DisplayPort,https://amzn.to/3H7cnFj,GIGABYTE,mem8,400to500,1.5to2,NVIDIAGeForceRTX3070,GDDR6,
 $430.00 ,GIGABYTE,NVIDIA GeForce RTX 4060 TI,8GB GDDR6,,HDMI;DisplayPort,https://amzn.to/47mZX7g,GIGABYTE,mem8,400to500,,NVIDIAGeForceRTX4060TI,GDDR6 ,
" $2,322.00 ",GIGABYTE,NVIDIA GeForce RTX 4090,24GB DDR6X,2520 MHz,HDMI;DisplayPort,https://amzn.to/47wxvjq,GIGABYTE,mem20+,2000above,2.5to3,NVIDIAGeForceRTX4090,DDR6X,
 $860.00 ,GIGABYTE,NVIDIA GeForce RTX 4070 TI,12GB GDDR6X,2610 MHz,HDMI;DisplayPort,https://amzn.to/48HvxO1,GIGABYTE,mem12,500to1000,2.5to3,NVIDIAGeForceRTX4070TI,GDRR6X,
