Processor,gpuID,i
AMD Radeon RX 5500 XT,AMDRadeonRX5500XT,
RX 580,RX580,
NVIDIA GeForce RTX 4070 TI,NVIDIAGeForceRTX4070TI,
NVIDIA GeForce RTX 3060,NVIDIAGeForceRTX3060,
NVIDIA GeForce RTX 4060 Ti,NVIDIAGeForceRTX4060Ti,
NVIDIA GeForce RTX 4070,NVIDIAGeForceRTX4070,
NVIDIA GeForce RTX 4060,NVIDIAGeForceRTX4060,
NVIDIA GeForce RTX 3070,NVIDIAGeForceRTX3070,
NVIDIA GeForce RTX 4060 TI,NVIDIAGeForceRTX4060TI,
NVIDIA GeForce RTX 4090,NVIDIAGeForceRTX4090,
NVIDIA GeForce RTX 2060,NVIDIAGeForceRTX2060,
AMD Radeon RX 580,AMDRadeonRX580,
NVIDIA GeForce GTX 1650,NVIDIAGeForceGTX1650,
NVIDIA GeForce RTX 4070 Ti,NVIDIAGeForceRTX4070Ti,
NVIDIA GeForce GTX 1050,NVIDIAGeForceGTX1050,
AMD Radeon RX 6600,AMDRadeonRX6600,
NVIDIA GeForce GTX 1060,NVIDIAGeForceGTX1060,
NVIDIA GeForce RTX,NVIDIAGeForceRTX,
AMD Radeon RX 6800 XT,AMDRadeonRX6800XT,
NVIDIA GeForce RTX 3060 Ti,NVIDIAGeForceRTX3060Ti,
RX 6600,RX6600,
AMD Radeon RX 7800 XT,AMDRadeonRX7800XT,
AMD Radeon RX 6700,AMDRadeonRX6700,
